tweet_id,favorites,retweets
892420643555336193,38148,8346
892177421306343426,32716,6171
891815181378084864,24632,4081
891689557279858688,41487,8490
891327558926688256,39662,9183
891087950875897856,19915,3058
890971913173991426,11640,2027
890729181411237888,64377,18527
890609185150312448,27355,4197
890240255349198849,31403,7251
890006608113172480,30184,7202
889880896479866881,27345,4887
889665388333682689,47347,9871
889638837579907072,26724,4463
889531135344209921,14866,2206
889278841981685760,24847,5279
888917238123831296,28633,4414
888804989199671297,25145,4219
888554962724278272,19523,3488
888078434458587136,21409,3433
887705289381826560,29690,5291
887517139158093824,45556,11465
887473957103951883,67979,17851
887343217045368832,33152,10223
887101392804085760,30091,5859
886983233522544640,34594,7630
886736880519319552,11860,3222
886680336477933568,22086,4385
886366144734445568,20855,3143
886267009285017600,116,4
886258384151887873,27541,6175
886054160059072513,0,105
885984800019947520,32141,6675
885528943205470208,35412,6321
885518971528720385,20113,3696
885311592912609280,0,18246
885167619883638784,21580,4303
884925521741709313,76257,17972
884876753390489601,27493,5549
884562892145688576,23923,4646
884441805382717440,26565,5559
884247878851493888,71886,20130
884162670584377345,20035,2939
883838122936631299,21562,3388
883482846933004288,45190,9779
883360690899218434,22324,3640
883117836046086144,36600,6555
882992080364220416,23586,3857
882762694511734784,27864,4839
882627270321602560,27484,5988
882268110199369728,44267,11408
882045870035918850,28921,4890
881906580714921986,23943,3339
881666595344535552,49821,10497
881633300179243008,124,7
881536004380872706,48678,15690
881268444196462592,22734,5088
880935762899988482,16753,2739
880872448815771648,20944,3753
880465832366813184,28086,6173
880221127280381952,26637,4149
880095782870896641,27214,4288
879862464715927552,21984,3445
879674319642796034,307,10
879492040517615616,23066,3139
879415818425184262,104278,43563
879376492567855104,16525,3071
879130579576475649,0,6722
879050749262655488,22221,4651
879008229531029506,18697,2657
878776093423087618,19128,4072
878604707211726852,29814,7096
878404777348136964,0,1270
878316110768087041,0,6561
878281511006478336,7632,1270
878057613040115712,41420,6722
877736472329191424,78622,18820
877611172832227328,0,80
877556246731214848,22398,3756
877316821321428993,26984,5104
877201837425926144,26737,5514
876838120628539392,20393,3299
876537666061221889,23176,4573
876484053909872640,18496,2366
876120275196170240,27527,4635
875747767867523072,24844,4243
875144289856114688,21619,4870
875097192612077568,27046,5979
875021211251597312,25121,4667
874680097055178752,27454,4596
874434818259525634,0,14577
874296783580663808,25715,4068
874057562936811520,22354,3917
874012996292530176,34143,10313
873580283840344065,23899,3909
873337748698140672,0,1572
873213775632977920,7145,1572
872967104147763200,27040,5364
872820683541237760,14543,3667
872620804844003328,20561,3669
872486979161796608,40230,8958
872261713294495745,33832,6280
872122724285648897,34067,8079
871879754684805121,37586,11110
871762521631449091,20074,3457
871515927908634625,20021,3438
871166179821445120,0,5679
871102520638267392,20752,5485
871032628920680449,22474,3805
870804317367881728,33331,6185
870726314365509632,119,3
870656317836468226,12312,2640
870374049280663552,82126,26178
870308999962521604,21682,4149
870063196459192321,36421,8345
869772420881756160,42156,10033
869702957897576449,28074,6354
869596645499047938,15890,3137
869227993411051520,20327,3791
868880397819494401,65342,14516
868639477480148993,0,2103
868622495443632128,26723,5395
868552278524837888,10095,2103
867900495410671616,24116,4198
867774946302451713,33929,7371
867421006826221569,16083,2522
867072653475098625,0,121
867051520902168576,32203,7920
866720684873056260,20060,4848
866686824827068416,19326,3513
866450705531457537,122261,35555
866334964761202691,52608,14577
866094527597207552,0,8450
865718153858494464,25665,5670
865359393868664832,26519,5055
865006731092295680,28066,7768
864873206498414592,32372,8795
864279568663928832,14671,3073
864197398364647424,30265,9052
863907417377173506,20701,4198
863553081350529029,15366,4231
863471782782697472,0,2486
863432100342583297,23927,5336
863427515083354112,2276,98
863079547188785154,8809,1118
863062471531167744,8572,2486
862831371563274240,19268,5169
862722525377298433,17160,3582
862457590147678208,20668,5038
862096992088072192,75030,23685
861383897657036800,36322,10890
861288531465048066,17316,4228
861005113778896900,16830,3869
860981674716409858,0,2196
860924035999428608,0,838
860563773140209665,7571,2196
860524505164394496,23828,5380
860276583193509888,18459,3547
860184849394610176,16842,5958
860177593139703809,0,31521
859924526012018688,19736,4184
859851578198683649,15556,3585
859607811541651456,18775,1608
859196978902773760,90945,30906
859074603037188101,34255,13923
858860390427611136,0,8345
858843525470990336,15710,3559
858471635011153920,21759,4967
858107933456039936,15914,2989
857989990357356544,16332,2648
857746408056729600,34733,10927
857393404942143489,5989,1690
857263160327368704,20279,4651
857214891891077121,232,18
857062103051644929,0,177
857029823797047296,19217,4121
856602993587888130,0,11017
856543823941562368,16513,2966
856526610513747968,12021,1940
856330835276025856,0,701
856288084350160898,527,17
856282028240666624,28190,6521
855862651834028034,352,28
855860136149123072,5126,1063
855857698524602368,12065,2183
855851453814013952,46234,18303
855818117272018944,27081,5614
855459453768019968,30517,8505
855245323840757760,0,6199
855138241867124737,0,47
854732716440526848,23325,6346
854482394044301312,29944,7137
854365224396361728,19320,4876
854120357044912130,32699,7799
854010172552949760,16584,3288
853760880890318849,29274,6046
853639147608842240,35737,10581
853299958564483072,15928,3731
852936405516943360,0,2103
852912242202992640,9300,1920
852672615818899456,15328,2258
852553447878664193,16821,3685
852311364735569921,34050,10359
852226086759018497,20579,7125
852189679701164033,11799,1665
851953902622658560,0,10118
851861385021730816,0,23
851591660324737024,16694,3644
851464819735769094,25027,7431
851224888060895234,21333,6008
850753642995093505,32026,9771
850380195714523136,13480,2753
850333567704068097,3542,352
850145622816686080,16864,4033
850019790995546112,21143,5164
849776966551130114,31507,8017
849668094696017920,0,5235
849412302885593088,16426,3317
849336543269576704,11825,1993
849051919805034497,43992,8997
848690551926992896,26107,4566
848324959059550208,25669,4859
848213670039564288,8467,786
848212111729840128,16926,3251
847978865427394560,0,3448
847971574464610304,0,453
847962785489326080,24396,5402
847842811428974592,5687,1421
847617282490613760,7273,450
847606175596138505,19488,3597
847251039262605312,21249,4556
847157206088847362,20732,6210
847116187444137987,22255,3393
846874817362120707,20880,4170
846514051647705089,46445,12318
846505985330044928,14685,3283
846153765933735936,32989,9632
846139713627017216,32136,10490
846042936437604353,16642,3076
845812042753855489,30511,9302
845677943972139009,26150,5087
845397057150107648,7950,1925
845306882940190720,24297,5736
845098359547420673,0,8156
844979544864018432,14212,2752
844973813909606400,15758,3421
844704788403113984,40397,11017
844580511645339650,17189,3349
844223788422217728,14222,2342
843981021012017153,15785,3117
843856843873095681,22330,4936
843604394117681152,17626,2942
843235543001513987,22454,6455
842846295480000512,15903,3839
842765311967449089,7048,1360
842535590457499648,18913,3742
842163532590374912,25600,6199
842115215311396866,14647,3239
841833993020538882,0,16405
841680585030541313,26811,8290
